morpheme,meaning
a-,"not, without"
ab-,away from
abdomin/o,abdomen
-ac,pertaining to
acetabul/o,"acetabulum, part of hipbone"
acous/o,"sound, hearing"
acr/o,"top, extremities"
acromi/o,"acromion, extension of the shoulder bone"
-acusia,abnormal hearing condition
-acusis,abnormal hearing condition
-ad,toward
ad-,toward
adenoid/o,adenoids
adip/o,fat
adren/o,adrenal glands
adrenal/o,adrenal glands
-agogue,"inducing, leading"
-al,pertaining to
albin/o,white
albumin/o,albumin
-algia,pain
alveol/o,"alveolus, socket of a tooth, air sac"
ambly/o,"dull, dim"
ambul/o,walking
amni/o,amnion
amphi-,"on both sides, both"
amyl/o,starch
an-,"not, without"
an/o,anus
ana-,"up, back, again"
andr/o,"androgen, male"
angi/o,vessel
anis/o,unequal
ankyl/o,"stiff, adhesion"
ant(i)-,against
ante-,"before, forward"
anter/o,front
aort/o,aorta
-apheresis,removal
append/o,appendix
appendic/o,appendix
-ar,pertaining to
-arche,first
arter/o,artery
arteri/o,artery
arteriol/o,"arteriole, small artery"
arthr/o,joints
articul/o,joints
-ary,pertaining to
-ase,enzyme
-asthenia,"weakness, debility"
astr/o,star-shaped
atel/o,"imperfect, defective"
ather/o,fatty plaque
atri/o,atrium
audi/o,hearing
aur/o,"ear, ear-like structure"
auricul/o,"ear, ear-like structure"
auto-,self
azot/o,"urea, nitrogen"
bacill/i,bacillus (pl. bacilli)
bacteri/o,bacterium (pl. bacteria)
balan/o,glans (head) penis
bas/o,base
ben(e)-,good
bi-,"two, double"
bil/i,bile
bilirubin/o,"bilirubin, bile pigment"
-blast,embryonic cells
blenn/o,"mucus, pus"
brachi/o,arm
brady-,slow
bronch/o,bronchus (pl. bronchi)
bronchi/o,bronchus (pl. bronchi)
bronchiol/o,"bronchiole, small bronchus"
bucc/o,cheek
burs/o,bursa
cal/i,"calyx, cup"
calc/i,calcium
calc/o,calcium
calcane/o,"calcaneus, heel bone"
calic/o,"calyx, cup"
capn/o,carbon dioxide
carb/o,carbon
carcin/o,"cancerous, cancer"
cardi/o,heart
carp/o,"carpus, wrist"
cata-,down
caud/o,"cauda, tail"
cec/o,cecum
-cele,"hernia, protrusion"
celi/o,abdomen
cent-,"hundred, one hundredth"
-centesis,surgical puncture to remove fluid
cephal/o,head
cerebell/o,cerebellum
cerebr/o,cerebrum
cervic/o,"cervix, neck"
cheil/o,lip
chem/o,"chemistry, drug"
-chezia,"defecation, elimination of wastes"
chir/o,hand
chlor/o,green
chol/e,bile
cholangi/o,bile vessel
cholecyst/o,gallbladder
choledoch/o,common bile duct
chondr/o,cartilage
chori/o,choroids
choroid/o,choroids
chrom/o,color
-cide,killing; an agent that kills
circum-,"around, about"
cirrh/o,yellow
-clasia,"breaking, surgical fracture"
-clasis,"breaking, surgical fracture"
-clast,breaker
clavicul/o,"clavicle, collar bone"
-cle,little one
clitor/o,clitoris
clitorid/o,clitoris
-clysis,"washing, irrigation"
-coccus (pl. cocci),round bacteria
coccyg/o,coccyx
cochle/o,cochlea
coit/o,sexual intercourse
col/o,colon
coll/a,glue
colon/o,colon
colp/o,vagina
com-,"together, with"
con-,"together, with"
coni/o,dust
conjunctiv/o,conjunctiva
contra-,"against, opposite"
copr/o,feces
core/o,pupil
corne/o,cornea
cortic/o,cortex
cost/o,rib
counter-,"against, opposite"
crani/o,"cranium, skull"
crin/o,secretion
cry/o,cold
crypt/o,hidden
cupr/o,copper
cutane/o,skin
cyan/o,blue
cycl/o,ciliary body
-cyesis,pregnancy
cyst/o,"sac, bladder"
cyt/o,cell
-cyte,cell
-cytosis,abnormal condition of cells
dacry/o,tear; lacrimal sac
dacryocyst/o,lacrimal sac
de-,"down, from, lack of"
deca-,"ten, one tenth"
deci-,"ten, one tenth"
dent/i,tooth
dent/o,tooth
derm/o,skin
-derma,skin condition
dermat/o,skin
-desis,binding together
dextro-,right side
di-,"two, double"
dia-,"through, across, complete"
diaphor/o,profuse sweating
diaphragmat/o,diaphragm
-didymus,joining up of fetuses
dipl/o,double
dips/o,thirst
dis-,"free from, absence, separation"
dist/o,far
dors/o,back
duoden/o,duodenum
dur/o,"hard, dura mater"
-dynia,pain
dys-,"bad, difficult"
-eal,pertaining to
ech/o,sound reverberation
-ectasia,dilation
-ectasis,dilation
-ectomy,surgical removal
electr/o,electricity
embol/o,embolus (pl. emboli)
embry/o,embryo
-emesis,vomiting
-emia,abnormal blood condition
en-,inside
encephal/o,brain
endo-,inside
enter/o,intestine (usually small intestine)
eosin/o,rose-colored
epi-,"on, above"
epididym/o,epididymis
epiglott/o,epiglottis
episi/o,vulva
epitheli/o,epithelium
-er,one who
erythem/o,red
erythr/o,"red, red blood cell"
esophag/o,esophagus
-esthesia,"feeling, sensation"
estr/o,"female, woman"
eu-,"good, normal"
ex-,"out, outside"
exo-,"out, outside"
extra-,"out, outside"
fasci/o,fascia
fec/o,feces
femor/o,"femur, thigh bone"
fibr/o,fiber
fibul/o,"fibula, smaller lower leg bone"
follicul/o,follicle
-form,"in the form of, resembling"
-fugal,"away from, flee"
fung/i,fungus (pl. fungi)
galact/o,milk
gamet/o,"gamete, mature reproductive cell"
gangli/o,ganglion
ganglion/o,ganglion
gastr/o,stomach
-gen,"origin, producer"
-genesis,formation
-genic,producing or produced by
genit/o,"genitalia, reproductive organs"
ger/o,old age
geront/o,old age
gingiv/o,"gingiva, gum"
glauc/o,gray
gli/o,"glue, neuroglia"
glomerul/o,glomerulus
gloss/o,tongue
gnath/o,jaw
gon/o,sex glands (ovaries and testes)
gonad/o,sex glands (ovaries and testes)
-gram,"record, image"
granul/o,granule
-graph,instrument to record
-graphy,process of recording
-gravida,pregnant woman
gynec/o,"female, woman"
hect,"o,hundred, one hundredth"
hem/o,blood
hemat/o,blood
hemi-,"half, part"
hepat/o,liver
hetero-,different
hidr/o,sweat
hist/o,tissue
homeo-,same
homo-,same
